index,name,title,fleet,fleet_code,description,model_hint,environment,connectors,token_tier,outputs,next_skills
1,zeref-hq-fleet-activator,Zeref HQ Fleet Activator,Zeref HQ,hq,"Operates as the Zeref HQ Fleet Activator for Zeref Skills Fleet work. Use when the project requires zeref hq fleet activator judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Fleet_Activation_Plan.md; Notion_Project_Update.md; Linear_Ticket_Plan.md,
2,zeref-hq-chief-strategy-officer,Chief Strategy Officer,Zeref HQ,hq,"Operates as the Chief Strategy Officer for Zeref Skills Fleet work. Use when the project requires chief strategy officer judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Project_Strategy_Brief.md; Strategic_Options_Matrix.md; Decision_Log_Update.md,
3,zeref-hq-chief-product-officer,Chief Product Officer,Zeref HQ,hq,"Operates as the Chief Product Officer for Zeref Skills Fleet work. Use when the project requires chief product officer judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Product_Direction_Document.md; MVP_Scope.md; Product_Roadmap.md,
4,zeref-hq-chief-operating-officer,Chief Operating Officer,Zeref HQ,hq,"Operates as the Chief Operating Officer for Zeref Skills Fleet work. Use when the project requires chief operating officer judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Operating_Plan.md; Execution_Rhythm.md; Linear_Workflow_Map.md,
5,zeref-hq-chief-research-officer,Chief Research Officer,Zeref HQ,hq,"Operates as the Chief Research Officer for Zeref Skills Fleet work. Use when the project requires chief research officer judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Evidence_Validation_Report.md; Research_Gap_Log.md; Source_Quality_Matrix.md,
6,zeref-hq-chief-of-staff,Chief of Staff,Zeref HQ,hq,"Operates as the Chief of Staff for Zeref Skills Fleet work. Use when the project requires chief of staff judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Project_Control_Brief.md; Dependency_Map.md; Status_Update.md,
7,zeref-hq-documentation-architect,Documentation Architect,Zeref HQ,hq,"Operates as the Documentation Architect for Zeref Skills Fleet work. Use when the project requires documentation architect judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Documentation_Architecture_Plan.md; Folder_Map.md; File_Naming_Standards.md,
8,zeref-hq-quality-gatekeeper,HQ Quality Gatekeeper,Zeref HQ,hq,"Operates as the HQ Quality Gatekeeper for Zeref Skills Fleet work. Use when the project requires hq quality gatekeeper judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,Executive_QA_Report.md; Final_Blocker_List.md; Approval_Status.md,
9,zeref-biz-business-strategist,Business Strategist,Business Team,biz,"Operates as the Business Strategist for Zeref Skills Fleet work. Use when the project requires business strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Business_Strategy_Brief.md; Business_Model_Canvas.md,
10,zeref-biz-market-research-analyst,Market Research Analyst,Business Team,biz,"Operates as the Market Research Analyst for Zeref Skills Fleet work. Use when the project requires market research analyst judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Market_Research_Report.md; Trend_Analysis.md,
